Time,X(CH1),X(CH2),
Second,Volt,Volt,
-1.3104000e-04,6.40000e-02,3.36000e+00,
-1.3099999e-04,6.40000e-02,3.36000e+00,
-1.3095999e-04,6.40000e-02,3.36000e+00,
-1.3091999e-04,6.40000e-02,3.36000e+00,
-1.3087998e-04,6.40000e-02,3.36000e+00,
-1.3083998e-04,6.40000e-02,3.36000e+00,
-1.3079998e-04,6.40000e-02,3.36000e+00,
-1.3075997e-04,6.40000e-02,3.36000e+00,
-1.3071997e-04,6.40000e-02,3.36000e+00,
-1.3067997e-04,6.40000e-02,3.36000e+00,
-1.3063996e-04,6.40000e-02,3.36000e+00,
-1.3059996e-04,6.40000e-02,3.36000e+00,
-1.3055996e-04,6.40000e-02,3.36000e+00,
-1.3051995e-04,6.40000e-02,3.36000e+00,
-1.3047995e-04,6.40000e-02,3.36000e+00,
-1.3043995e-04,7.20000e-02,3.36000e+00,
-1.3039995e-04,7.60000e-02,3.36000e+00,
-1.3035994e-04,6.00000e-02,3.36000e+00,
-1.3031994e-04,7.20000e-02,3.36000e+00,
-1.3027994e-04,7.60000e-02,3.36000e+00,
-1.3023993e-04,6.40000e-02,3.36000e+00,
-1.3019993e-04,6.40000e-02,3.36000e+00,
-1.3015993e-04,7.60000e-02,3.36000e+00,
-1.3011992e-04,6.80000e-02,3.36000e+00,
-1.3007992e-04,6.40000e-02,3.36000e+00,
-1.3003992e-04,7.20000e-02,3.36000e+00,
-1.2999991e-04,7.20000e-02,3.36000e+00,
-1.2995991e-04,5.60000e-02,3.28000e+00,
-1.2991991e-04,6.80000e-02,3.36000e+00,
-1.2987990e-04,7.60000e-02,3.36000e+00,
-1.2983990e-04,6.00000e-02,3.36000e+00,
-1.2979990e-04,6.00000e-02,3.36000e+00,
-1.2975989e-04,7.60000e-02,3.36000e+00,
-1.2971989e-04,6.80000e-02,3.36000e+00,
-1.2967989e-04,6.00000e-02,3.36000e+00,
-1.2963988e-04,7.20000e-02,3.36000e+00,
-1.2959988e-04,7.20000e-02,3.36000e+00,
-1.2955988e-04,6.00000e-02,3.28000e+00,
-1.2951987e-04,6.40000e-02,3.36000e+00,
-1.2947987e-04,7.60000e-02,3.36000e+00,
-1.2943987e-04,6.00000e-02,3.36000e+00,
-1.2939986e-04,6.00000e-02,3.36000e+00,
-1.2935986e-04,7.20000e-02,3.36000e+00,
-1.2931986e-04,6.80000e-02,3.36000e+00,
-1.2927986e-04,6.00000e-02,3.36000e+00,
-1.2923985e-04,6.80000e-02,3.36000e+00,
-1.2919985e-04,7.20000e-02,3.28000e+00,
-1.2915985e-04,6.00000e-02,3.36000e+00,
-1.2911984e-04,6.40000e-02,3.36000e+00,
-1.2907984e-04,7.60000e-02,3.36000e+00,
-1.2903984e-04,6.40000e-02,3.36000e+00,
-1.2899983e-04,6.00000e-02,3.36000e+00,
-1.2895983e-04,7.20000e-02,3.28000e+00,
-1.2891983e-04,6.80000e-02,3.36000e+00,
-1.2887982e-04,6.00000e-02,3.36000e+00,
-1.2883982e-04,6.80000e-02,3.36000e+00,
-1.2879982e-04,7.20000e-02,3.36000e+00,
-1.2875981e-04,6.00000e-02,3.36000e+00,
-1.2871981e-04,6.00000e-02,3.36000e+00,
-1.2867981e-04,7.60000e-02,3.36000e+00,
-1.2863980e-04,6.40000e-02,3.36000e+00,
-1.2859980e-04,6.00000e-02,3.36000e+00,
-1.2855980e-04,7.20000e-02,3.36000e+00,
-1.2851979e-04,7.60000e-02,3.36000e+00,
-1.2847979e-04,6.00000e-02,3.36000e+00,
-1.2843979e-04,6.40000e-02,3.36000e+00,
-1.2839978e-04,7.20000e-02,3.36000e+00,
-1.2835978e-04,6.00000e-02,3.36000e+00,
-1.2831978e-04,6.40000e-02,3.36000e+00,
-1.2827977e-04,7.20000e-02,3.36000e+00,
-1.2823977e-04,7.20000e-02,3.36000e+00,
-1.2819977e-04,6.00000e-02,3.36000e+00,
-1.2815977e-04,7.20000e-02,3.36000e+00,
-1.2811976e-04,7.20000e-02,3.36000e+00,
-1.2807976e-04,6.40000e-02,3.36000e+00,
-1.2803976e-04,6.40000e-02,3.36000e+00,
-1.2799975e-04,7.60000e-02,3.36000e+00,
-1.2795975e-04,6.40000e-02,3.36000e+00,
-1.2791975e-04,6.40000e-02,3.36000e+00,
-1.2787974e-04,7.20000e-02,3.36000e+00,
-1.2783974e-04,7.20000e-02,3.36000e+00,
-1.2779974e-04,6.00000e-02,3.36000e+00,
-1.2775973e-04,6.40000e-02,3.36000e+00,
-1.2771973e-04,7.20000e-02,3.36000e+00,
-1.2767973e-04,6.40000e-02,3.36000e+00,
-1.2763972e-04,6.40000e-02,3.36000e+00,
-1.2759972e-04,7.60000e-02,3.36000e+00,
-1.2755972e-04,6.40000e-02,3.36000e+00,
-1.2751971e-04,6.00000e-02,3.36000e+00,
-1.2747971e-04,7.20000e-02,3.36000e+00,
-1.2743971e-04,7.20000e-02,3.36000e+00,
-1.2739970e-04,6.00000e-02,3.36000e+00,
-1.2735970e-04,6.40000e-02,3.36000e+00,
-1.2731970e-04,7.20000e-02,3.36000e+00,
-1.2727969e-04,6.40000e-02,3.36000e+00,
-1.2723969e-04,6.00000e-02,3.36000e+00,
-1.2719969e-04,7.60000e-02,3.36000e+00,
-1.2715968e-04,6.80000e-02,3.36000e+00,
-1.2711968e-04,6.00000e-02,3.36000e+00,
-1.2707968e-04,7.20000e-02,3.28000e+00,
-1.2703968e-04,7.60000e-02,3.36000e+00,
-1.2699967e-04,6.00000e-02,3.36000e+00,
-1.2695967e-04,6.80000e-02,3.36000e+00,
-1.2691967e-04,7.60000e-02,3.36000e+00,
-1.2687966e-04,6.40000e-02,3.36000e+00,
-1.2683966e-04,6.40000e-02,3.36000e+00,
-1.2679966e-04,7.20000e-02,3.36000e+00,
-1.2675965e-04,6.80000e-02,3.36000e+00,
-1.2671965e-04,6.00000e-02,3.36000e+00,
-1.2667965e-04,6.80000e-02,3.36000e+00,
-1.2663964e-04,7.20000e-02,3.36000e+00,
-1.2659964e-04,6.40000e-02,3.36000e+00,
-1.2655964e-04,6.40000e-02,3.36000e+00,
-1.2651963e-04,7.60000e-02,3.36000e+00,
-1.2647963e-04,6.40000e-02,3.36000e+00,
-1.2643963e-04,6.40000e-02,3.36000e+00,
-1.2639962e-04,7.20000e-02,3.36000e+00,
-1.2635962e-04,6.80000e-02,3.36000e+00,
-1.2631962e-04,6.00000e-02,3.36000e+00,
-1.2627961e-04,6.80000e-02,3.36000e+00,
-1.2623961e-04,7.60000e-02,3.36000e+00,
-1.2619961e-04,6.00000e-02,3.36000e+00,
-1.2615960e-04,6.40000e-02,3.36000e+00,
-1.2611960e-04,7.60000e-02,3.36000e+00,
-1.2607960e-04,6.40000e-02,3.36000e+00,
-1.2603959e-04,6.40000e-02,3.36000e+00,
-1.2599959e-04,7.20000e-02,3.36000e+00,
-1.2595959e-04,7.20000e-02,3.36000e+00,
-1.2591959e-04,6.00000e-02,3.36000e+00,
-1.2587958e-04,7.20000e-02,3.36000e+00,
-1.2583958e-04,7.60000e-02,3.36000e+00,
-1.2579958e-04,6.00000e-02,3.36000e+00,
-1.2575957e-04,6.40000e-02,3.36000e+00,
-1.2571957e-04,7.60000e-02,3.36000e+00,
-1.2567957e-04,6.80000e-02,3.36000e+00,
-1.2563956e-04,6.00000e-02,3.36000e+00,
-1.2559956e-04,7.20000e-02,3.36000e+00,
-1.2555956e-04,7.60000e-02,3.36000e+00,
-1.2551955e-04,6.00000e-02,3.36000e+00,
-1.2547955e-04,7.20000e-02,3.36000e+00,
-1.2543955e-04,7.60000e-02,3.36000e+00,
-1.2539954e-04,6.40000e-02,3.36000e+00,
-1.2535954e-04,6.40000e-02,3.36000e+00,
-1.2531954e-04,7.20000e-02,3.36000e+00,
-1.2527953e-04,6.80000e-02,3.36000e+00,
-1.2523953e-04,6.00000e-02,3.36000e+00,
-1.2519953e-04,7.20000e-02,3.36000e+00,
-1.2515952e-04,7.20000e-02,3.36000e+00,
-1.2511952e-04,6.00000e-02,3.36000e+00,
-1.2507952e-04,6.40000e-02,3.36000e+00,
-1.2503951e-04,7.60000e-02,3.36000e+00,
-1.2499951e-04,6.00000e-02,3.36000e+00,
-1.2495951e-04,6.40000e-02,3.36000e+00,
-1.2491950e-04,7.60000e-02,3.36000e+00,
-1.2487950e-04,6.80000e-02,3.36000e+00,
-1.2483950e-04,6.00000e-02,3.36000e+00,
-1.2479950e-04,6.80000e-02,3.36000e+00,
-1.2475949e-04,7.20000e-02,3.36000e+00,
-1.2471949e-04,6.00000e-02,3.36000e+00,
-1.2467949e-04,6.40000e-02,3.36000e+00,
-1.2463948e-04,7.20000e-02,3.36000e+00,
-1.2459948e-04,6.40000e-02,3.36000e+00,
-1.2455948e-04,6.40000e-02,3.36000e+00,
-1.2451947e-04,7.20000e-02,3.36000e+00,
-1.2447947e-04,7.20000e-02,3.36000e+00,
-1.2443947e-04,6.00000e-02,3.36000e+00,
-1.2439946e-04,6.80000e-02,3.36000e+00,
-1.2435946e-04,7.60000e-02,3.36000e+00,
-1.2431946e-04,6.00000e-02,3.36000e+00,
-1.2427945e-04,6.40000e-02,3.36000e+00,
-1.2423945e-04,7.60000e-02,3.36000e+00,
-1.2419945e-04,6.40000e-02,3.36000e+00,
-1.2415944e-04,6.40000e-02,3.36000e+00,
-1.2411944e-04,7.20000e-02,3.36000e+00,
-1.2407944e-04,7.20000e-02,3.36000e+00,
-1.2403943e-04,6.40000e-02,3.36000e+00,
-1.2399943e-04,6.80000e-02,3.36000e+00,
-1.2395943e-04,7.20000e-02,3.36000e+00,
-1.2391942e-04,6.40000e-02,3.36000e+00,
-1.2387942e-04,6.40000e-02,3.36000e+00,
-1.2383942e-04,7.20000e-02,3.36000e+00,
-1.2379941e-04,6.40000e-02,3.36000e+00,
-1.2375941e-04,6.00000e-02,3.36000e+00,
-1.2371941e-04,7.20000e-02,3.36000e+00,
-1.2367941e-04,7.20000e-02,3.36000e+00,
-1.2363940e-04,6.00000e-02,3.36000e+00,
-1.2359940e-04,6.40000e-02,3.36000e+00,
-1.2355940e-04,7.20000e-02,3.36000e+00,
-1.2351939e-04,6.40000e-02,3.36000e+00,
-1.2347939e-04,6.40000e-02,3.36000e+00,
-1.2343939e-04,7.20000e-02,3.36000e+00,
-1.2339938e-04,7.20000e-02,3.36000e+00,
-1.2335938e-04,6.00000e-02,3.36000e+00,
-1.2331938e-04,6.80000e-02,3.36000e+00,
-1.2327937e-04,7.20000e-02,3.36000e+00,
-1.2323937e-04,6.00000e-02,3.36000e+00,
-1.2319937e-04,6.40000e-02,3.36000e+00,
-1.2315936e-04,7.60000e-02,3.36000e+00,
-1.2311936e-04,6.40000e-02,3.36000e+00,
-1.2307936e-04,6.00000e-02,3.36000e+00,
-1.2303935e-04,7.20000e-02,3.36000e+00,
-1.2299935e-04,6.80000e-02,3.36000e+00,
-1.2295935e-04,5.60000e-02,3.36000e+00,
-1.2291934e-04,6.80000e-02,3.36000e+00,
-1.2287934e-04,7.60000e-02,3.36000e+00,
-1.2283934e-04,6.00000e-02,3.36000e+00,
-1.2279933e-04,6.40000e-02,3.36000e+00,
-1.2275933e-04,7.60000e-02,3.36000e+00,
-1.2271933e-04,6.40000e-02,3.36000e+00,
-1.2267932e-04,6.00000e-02,3.36000e+00,
-1.2263932e-04,7.20000e-02,3.36000e+00,
-1.2259932e-04,7.20000e-02,3.36000e+00,
-1.2255932e-04,5.60000e-02,3.36000e+00,
-1.2251931e-04,6.40000e-02,3.36000e+00,
-1.2247931e-04,7.60000e-02,3.36000e+00,
-1.2243931e-04,6.00000e-02,3.36000e+00,
-1.2239930e-04,6.40000e-02,3.36000e+00,
-1.2235930e-04,7.60000e-02,3.36000e+00,
-1.2231930e-04,6.40000e-02,3.36000e+00,
-1.2227929e-04,6.00000e-02,3.36000e+00,
-1.2223929e-04,7.20000e-02,3.28000e+00,
-1.2219929e-04,7.60000e-02,3.28000e+00,
-1.2215928e-04,6.00000e-02,3.28000e+00,
-1.2211928e-04,6.40000e-02,3.28000e+00,
-1.2207928e-04,7.60000e-02,3.36000e+00,
-1.2203927e-04,6.00000e-02,3.36000e+00,
-1.2199927e-04,6.00000e-02,3.36000e+00,
-1.2195927e-04,7.60000e-02,3.36000e+00,
-1.2191926e-04,6.80000e-02,3.36000e+00,
-1.2187926e-04,6.00000e-02,3.36000e+00,
-1.2183926e-04,7.20000e-02,3.36000e+00,
-1.2179925e-04,7.60000e-02,3.36000e+00,
-1.2175925e-04,6.00000e-02,3.36000e+00,
-1.2171925e-04,6.40000e-02,3.36000e+00,
-1.2167924e-04,7.60000e-02,3.36000e+00,
-1.2163924e-04,6.40000e-02,3.36000e+00,
-1.2159924e-04,6.00000e-02,3.36000e+00,
-1.2155923e-04,7.60000e-02,3.36000e+00,
-1.2151923e-04,7.20000e-02,3.36000e+00,
-1.2147923e-04,5.60000e-02,3.36000e+00,
-1.2143923e-04,6.80000e-02,3.36000e+00,
-1.2139922e-04,7.60000e-02,3.36000e+00,
-1.2135922e-04,6.00000e-02,3.36000e+00,
-1.2131922e-04,6.00000e-02,3.36000e+00,
-1.2127921e-04,7.60000e-02,3.36000e+00,
-1.2123921e-04,6.40000e-02,3.36000e+00,
-1.2119921e-04,6.00000e-02,3.36000e+00,
-1.2115920e-04,7.20000e-02,3.36000e+00,
-1.2111920e-04,7.20000e-02,3.36000e+00,
-1.2107920e-04,5.60000e-02,3.36000e+00,
-1.2103919e-04,6.40000e-02,3.36000e+00,
-1.2099919e-04,7.60000e-02,3.36000e+00,
-1.2095919e-04,6.00000e-02,3.28000e+00,
-1.2091918e-04,6.00000e-02,3.36000e+00,
-1.2087918e-04,7.60000e-02,3.36000e+00,
-1.2083918e-04,6.40000e-02,3.36000e+00,
-1.2079917e-04,5.60000e-02,3.36000e+00,
-1.2075917e-04,6.80000e-02,3.36000e+00,
-1.2071917e-04,7.60000e-02,3.36000e+00,
-1.2067916e-04,6.00000e-02,3.36000e+00,
-1.2063916e-04,6.40000e-02,3.36000e+00,
-1.2059916e-04,7.60000e-02,3.36000e+00,
-1.2055915e-04,6.00000e-02,3.36000e+00,
-1.2051915e-04,6.40000e-02,3.36000e+00,
-1.2047915e-04,7.60000e-02,3.36000e+00,
-1.2043914e-04,7.20000e-02,3.36000e+00,
-1.2039914e-04,5.60000e-02,3.36000e+00,
-1.2035914e-04,7.20000e-02,3.36000e+00,
-1.2031914e-04,7.60000e-02,3.36000e+00,
-1.2027913e-04,6.00000e-02,3.28000e+00,
-1.2023913e-04,6.40000e-02,3.36000e+00,
-1.2019913e-04,8.00000e-02,3.36000e+00,
-1.2015912e-04,6.40000e-02,3.36000e+00,
-1.2011912e-04,6.00000e-02,3.36000e+00,
-1.2007912e-04,7.60000e-02,3.36000e+00,
-1.2003911e-04,7.60000e-02,3.36000e+00,
-1.1999911e-04,5.60000e-02,3.28000e+00,
-1.1995911e-04,6.40000e-02,3.36000e+00,
-1.1991910e-04,7.60000e-02,3.36000e+00,
-1.1987910e-04,6.00000e-02,3.28000e+00,
-1.1983910e-04,6.00000e-02,3.36000e+00,
-1.1979909e-04,7.60000e-02,3.36000e+00,
-1.1975909e-04,7.20000e-02,3.36000e+00,
-1.1971909e-04,6.00000e-02,3.36000e+00,
-1.1967908e-04,7.20000e-02,3.36000e+00,
-1.1963908e-04,7.60000e-02,3.36000e+00,
-1.1959908e-04,6.00000e-02,3.28000e+00,
-1.1955907e-04,6.40000e-02,3.28000e+00,
-1.1951907e-04,7.60000e-02,3.36000e+00,
-1.1947907e-04,6.40000e-02,3.36000e+00,
-1.1943906e-04,6.00000e-02,3.36000e+00,
-1.1939906e-04,7.20000e-02,3.36000e+00,
-1.1935906e-04,7.20000e-02,3.36000e+00,
-1.1931905e-04,5.60000e-02,3.36000e+00,
-1.1927905e-04,6.80000e-02,3.36000e+00,
-1.1923905e-04,7.60000e-02,3.36000e+00,
-1.1919905e-04,6.00000e-02,3.36000e+00,
-1.1915904e-04,6.40000e-02,3.36000e+00,
-1.1911904e-04,7.60000e-02,3.36000e+00,
-1.1907904e-04,6.40000e-02,3.36000e+00,
-1.1903903e-04,6.00000e-02,3.36000e+00,
-1.1899903e-04,7.20000e-02,3.36000e+00,
-1.1895903e-04,7.20000e-02,3.36000e+00,
-1.1891902e-04,5.60000e-02,3.36000e+00,
-1.1887902e-04,6.40000e-02,3.36000e+00,
-1.1883902e-04,7.60000e-02,3.36000e+00,
-1.1879901e-04,6.00000e-02,3.36000e+00,
-1.1875901e-04,6.00000e-02,3.36000e+00,
-1.1871901e-04,7.60000e-02,3.36000e+00,
-1.1867900e-04,6.80000e-02,3.36000e+00,
-1.1863900e-04,6.00000e-02,3.36000e+00,
-1.1859900e-04,7.20000e-02,3.36000e+00,
-1.1855899e-04,7.60000e-02,3.36000e+00,
-1.1851899e-04,6.00000e-02,3.36000e+00,
-1.1847899e-04,7.20000e-02,3.36000e+00,
-1.1843898e-04,7.60000e-02,3.36000e+00,
-1.1839898e-04,6.40000e-02,3.36000e+00,
-1.1835898e-04,6.00000e-02,3.36000e+00,
-1.1831897e-04,7.60000e-02,3.36000e+00,
-1.1827897e-04,7.20000e-02,3.36000e+00,
-1.1823897e-04,5.60000e-02,3.36000e+00,
-1.1819896e-04,6.80000e-02,3.36000e+00,
-1.1815896e-04,7.60000e-02,3.36000e+00,
-1.1811896e-04,6.00000e-02,3.36000e+00,
-1.1807895e-04,6.40000e-02,3.36000e+00,
-1.1803895e-04,7.60000e-02,3.36000e+00,
-1.1799895e-04,6.40000e-02,3.36000e+00,
-1.1795895e-04,6.00000e-02,3.36000e+00,
-1.1791894e-04,7.20000e-02,3.28000e+00,
-1.1787894e-04,7.20000e-02,3.36000e+00,
-1.1783894e-04,5.60000e-02,3.36000e+00,
-1.1779893e-04,6.80000e-02,3.36000e+00,
-1.1775893e-04,7.60000e-02,3.36000e+00,
-1.1771893e-04,6.00000e-02,3.36000e+00,
-1.1767892e-04,6.40000e-02,3.36000e+00,
-1.1763892e-04,7.20000e-02,3.36000e+00,
-1.1759892e-04,7.20000e-02,3.36000e+00,
-1.1755891e-04,5.20000e-02,3.36000e+00,
-1.1751891e-04,7.20000e-02,3.36000e+00,
-1.1747891e-04,7.60000e-02,3.36000e+00,
-1.1743890e-04,6.00000e-02,3.36000e+00,
-1.1739890e-04,7.20000e-02,3.36000e+00,
-1.1735890e-04,6.80000e-02,3.36000e+00,
-1.1731889e-04,5.60000e-02,3.36000e+00,
-1.1727889e-04,6.40000e-02,3.36000e+00,
-1.1723889e-04,7.60000e-02,3.36000e+00,
-1.1719888e-04,7.20000e-02,3.36000e+00,
-1.1715888e-04,6.00000e-02,3.36000e+00,
-1.1711888e-04,6.80000e-02,3.36000e+00,
-1.1707887e-04,7.20000e-02,3.36000e+00,
-1.1703887e-04,6.00000e-02,3.36000e+00,
-1.1699887e-04,6.40000e-02,3.36000e+00,
-1.1695886e-04,7.60000e-02,3.36000e+00,
-1.1691886e-04,6.40000e-02,3.36000e+00,
-1.1687886e-04,6.40000e-02,3.36000e+00,
-1.1683886e-04,7.60000e-02,3.36000e+00,
-1.1679885e-04,6.80000e-02,3.36000e+00,
-1.1675885e-04,6.00000e-02,3.36000e+00,
-1.1671885e-04,6.40000e-02,3.36000e+00,
-1.1667884e-04,7.20000e-02,3.36000e+00,
-1.1663884e-04,6.40000e-02,3.36000e+00,
-1.1659884e-04,6.80000e-02,3.36000e+00,
-1.1655883e-04,7.60000e-02,3.36000e+00,
-1.1651883e-04,7.20000e-02,3.36000e+00,
-1.1647883e-04,6.00000e-02,3.36000e+00,
-1.1643882e-04,6.80000e-02,3.36000e+00,
-1.1639882e-04,7.20000e-02,3.36000e+00,
-1.1635882e-04,6.00000e-02,3.36000e+00,
-1.1631881e-04,7.20000e-02,3.36000e+00,
-1.1627881e-04,7.20000e-02,3.36000e+00,
-1.1623881e-04,6.00000e-02,3.36000e+00,
-1.1619880e-04,6.40000e-02,3.36000e+00,
-1.1615880e-04,7.60000e-02,3.36000e+00,
-1.1611880e-04,6.40000e-02,3.36000e+00,
-1.1607879e-04,6.00000e-02,3.36000e+00,
-1.1603879e-04,7.20000e-02,3.36000e+00,
-1.1599879e-04,6.80000e-02,3.36000e+00,
-1.1595878e-04,6.00000e-02,3.36000e+00,
-1.1591878e-04,7.20000e-02,3.36000e+00,
-1.1587878e-04,7.20000e-02,3.36000e+00,
-1.1583877e-04,6.40000e-02,3.36000e+00,
-1.1579877e-04,7.20000e-02,3.36000e+00,
-1.1575877e-04,7.60000e-02,3.36000e+00,
-1.1571877e-04,6.80000e-02,3.36000e+00,
-1.1567876e-04,6.00000e-02,3.36000e+00,
-1.1563876e-04,7.20000e-02,3.28000e+00,
-1.1559876e-04,6.80000e-02,3.36000e+00,
-1.1555875e-04,6.40000e-02,3.36000e+00,
-1.1551875e-04,7.60000e-02,3.36000e+00,
-1.1547875e-04,7.20000e-02,3.36000e+00,
-1.1543874e-04,6.40000e-02,3.36000e+00,
-1.1539874e-04,6.40000e-02,3.36000e+00,
-1.1535874e-04,7.20000e-02,3.36000e+00,
-1.1531873e-04,7.20000e-02,3.36000e+00,
-1.1527873e-04,6.00000e-02,3.36000e+00,
-1.1523873e-04,6.40000e-02,3.36000e+00,
-1.1519872e-04,7.20000e-02,3.36000e+00,
-1.1515872e-04,6.40000e-02,3.36000e+00,
-1.1511872e-04,6.40000e-02,3.36000e+00,
-1.1507871e-04,7.20000e-02,3.36000e+00,
-1.1503871e-04,6.00000e-02,3.28000e+00,
-1.1499871e-04,6.00000e-02,3.36000e+00,
-1.1495870e-04,8.00000e-02,3.36000e+00,
-1.1491870e-04,7.20000e-02,3.36000e+00,
-1.1487870e-04,6.40000e-02,3.28000e+00,
-1.1483869e-04,7.20000e-02,3.36000e+00,
-1.1479869e-04,7.20000e-02,3.36000e+00,
-1.1475869e-04,6.00000e-02,3.36000e+00,
-1.1471868e-04,6.40000e-02,3.36000e+00,
-1.1467868e-04,7.20000e-02,3.36000e+00,
-1.1463868e-04,6.40000e-02,3.36000e+00,
-1.1459868e-04,6.40000e-02,3.36000e+00,
-1.1455867e-04,7.20000e-02,3.36000e+00,
-1.1451867e-04,6.40000e-02,3.36000e+00,
-1.1447867e-04,6.00000e-02,3.36000e+00,
-1.1443866e-04,6.80000e-02,3.36000e+00,
-1.1439866e-04,7.20000e-02,3.36000e+00,
-1.1435866e-04,6.40000e-02,3.36000e+00,
-1.1431865e-04,6.40000e-02,3.36000e+00,
-1.1427865e-04,7.60000e-02,3.36000e+00,
