Time,X(CH1),X(CH2),
Second,Volt,Volt,
-4.0960000e-04,6.80000e-02,3.36000e+00,
-4.0950000e-04,6.80000e-02,3.36000e+00,
-4.0940000e-04,6.80000e-02,3.36000e+00,
-4.0930000e-04,6.80000e-02,3.36000e+00,
-4.0920000e-04,6.80000e-02,3.36000e+00,
-4.0910000e-04,6.80000e-02,3.36000e+00,
-4.0900000e-04,6.80000e-02,3.36000e+00,
-4.0890000e-04,6.80000e-02,3.36000e+00,
-4.0880000e-04,6.80000e-02,3.36000e+00,
-4.0870000e-04,6.80000e-02,3.36000e+00,
-4.0860000e-04,6.80000e-02,3.36000e+00,
-4.0850000e-04,6.80000e-02,3.36000e+00,
-4.0840000e-04,6.80000e-02,3.36000e+00,
-4.0829999e-04,6.80000e-02,3.36000e+00,
-4.0819999e-04,6.80000e-02,3.36000e+00,
-4.0809999e-04,6.80000e-02,3.36000e+00,
-4.0799999e-04,6.80000e-02,3.36000e+00,
-4.0789999e-04,6.80000e-02,3.36000e+00,
-4.0779999e-04,7.20000e-02,3.36000e+00,
-4.0769999e-04,7.20000e-02,3.36000e+00,
-4.0759999e-04,6.40000e-02,3.36000e+00,
-4.0749999e-04,6.80000e-02,3.36000e+00,
-4.0739999e-04,6.40000e-02,3.36000e+00,
-4.0729999e-04,7.20000e-02,3.36000e+00,
-4.0719999e-04,6.80000e-02,3.36000e+00,
-4.0709999e-04,6.40000e-02,3.36000e+00,
-4.0699998e-04,6.80000e-02,3.36000e+00,
-4.0689998e-04,7.20000e-02,3.36000e+00,
-4.0679998e-04,6.80000e-02,3.36000e+00,
-4.0669998e-04,6.40000e-02,3.36000e+00,
-4.0659998e-04,6.80000e-02,3.36000e+00,
-4.0649998e-04,7.20000e-02,3.36000e+00,
-4.0639998e-04,6.80000e-02,3.36000e+00,
-4.0629998e-04,6.40000e-02,3.36000e+00,
-4.0619998e-04,6.80000e-02,3.36000e+00,
-4.0609998e-04,7.20000e-02,3.36000e+00,
-4.0599998e-04,6.80000e-02,3.36000e+00,
-4.0589998e-04,6.40000e-02,3.36000e+00,
-4.0579998e-04,6.80000e-02,3.36000e+00,
-4.0569998e-04,7.20000e-02,3.36000e+00,
-4.0559997e-04,7.20000e-02,3.36000e+00,
-4.0549997e-04,6.40000e-02,3.36000e+00,
-4.0539997e-04,6.40000e-02,3.36000e+00,
-4.0529997e-04,7.20000e-02,3.36000e+00,
-4.0519997e-04,6.80000e-02,3.36000e+00,
-4.0509997e-04,6.40000e-02,3.36000e+00,
-4.0499997e-04,6.80000e-02,3.36000e+00,
-4.0489997e-04,7.20000e-02,3.36000e+00,
-4.0479997e-04,7.20000e-02,3.36000e+00,
-4.0469997e-04,6.40000e-02,3.36000e+00,
-4.0459997e-04,6.40000e-02,3.36000e+00,
-4.0449997e-04,7.20000e-02,3.36000e+00,
-4.0439997e-04,7.20000e-02,3.36000e+00,
-4.0429996e-04,6.40000e-02,3.36000e+00,
-4.0419996e-04,6.40000e-02,3.36000e+00,
-4.0409996e-04,7.20000e-02,3.36000e+00,
-4.0399996e-04,7.20000e-02,3.36000e+00,
-4.0389996e-04,6.80000e-02,3.36000e+00,
-4.0379996e-04,6.40000e-02,3.36000e+00,
