Time,X(CH1),X(CH2),
Second,Volt,Volt,
-3.6880001e-04,6.80000e-02,3.36000e+00,
-3.6870001e-04,6.80000e-02,3.36000e+00,
-3.6860001e-04,6.80000e-02,3.36000e+00,
-3.6850001e-04,6.80000e-02,3.36000e+00,
-3.6840001e-04,6.80000e-02,3.36000e+00,
-3.6830001e-04,6.80000e-02,3.36000e+00,
-3.6820001e-04,6.80000e-02,3.36000e+00,
-3.6810001e-04,6.80000e-02,3.36000e+00,
-3.6800001e-04,6.80000e-02,3.36000e+00,
-3.6790001e-04,6.80000e-02,3.36000e+00,
-3.6780001e-04,6.80000e-02,3.36000e+00,
-3.6770001e-04,6.80000e-02,3.36000e+00,
-3.6760001e-04,6.80000e-02,3.36000e+00,
-3.6750000e-04,6.80000e-02,3.36000e+00,
-3.6740000e-04,6.80000e-02,3.36000e+00,
-3.6730000e-04,6.80000e-02,3.36000e+00,
-3.6720000e-04,6.80000e-02,3.36000e+00,
-3.6710000e-04,6.80000e-02,3.36000e+00,
-3.6700000e-04,6.80000e-02,3.36000e+00,
-3.6690000e-04,6.80000e-02,3.36000e+00,
-3.6680000e-04,6.80000e-02,3.36000e+00,
-3.6670000e-04,6.80000e-02,3.36000e+00,
-3.6660000e-04,7.20000e-02,3.36000e+00,
-3.6650000e-04,6.40000e-02,3.36000e+00,
-3.6640000e-04,6.40000e-02,3.36000e+00,
-3.6630000e-04,7.20000e-02,3.36000e+00,
-3.6619999e-04,6.80000e-02,3.36000e+00,
-3.6609999e-04,6.40000e-02,3.36000e+00,
-3.6599999e-04,6.80000e-02,3.36000e+00,
-3.6589999e-04,7.60000e-02,3.36000e+00,
-3.6579999e-04,6.80000e-02,3.36000e+00,
-3.6569999e-04,6.40000e-02,3.36000e+00,
-3.6559999e-04,6.80000e-02,3.36000e+00,
-3.6549999e-04,7.20000e-02,3.36000e+00,
-3.6539999e-04,6.80000e-02,3.36000e+00,
-3.6529999e-04,6.40000e-02,3.36000e+00,
-3.6519999e-04,6.80000e-02,3.36000e+00,
-3.6509999e-04,7.20000e-02,3.36000e+00,
-3.6499999e-04,6.80000e-02,3.36000e+00,
-3.6489998e-04,6.40000e-02,3.36000e+00,
-3.6479998e-04,6.40000e-02,3.36000e+00,
-3.6469998e-04,7.20000e-02,3.36000e+00,
-3.6459998e-04,6.80000e-02,3.36000e+00,
-3.6449998e-04,6.40000e-02,3.36000e+00,
-3.6439998e-04,6.40000e-02,3.36000e+00,
-3.6429998e-04,6.80000e-02,3.36000e+00,
-3.6419998e-04,6.80000e-02,3.36000e+00,
-3.6409998e-04,6.40000e-02,3.36000e+00,
-3.6399998e-04,6.80000e-02,3.36000e+00,
-3.6389998e-04,7.20000e-02,3.36000e+00,
-3.6379998e-04,6.80000e-02,3.36000e+00,
-3.6369998e-04,6.40000e-02,3.36000e+00,
-3.6359997e-04,6.40000e-02,3.36000e+00,
-3.6349997e-04,7.20000e-02,3.36000e+00,
-3.6339997e-04,7.20000e-02,3.36000e+00,
-3.6329997e-04,6.40000e-02,3.36000e+00,
-3.6319997e-04,6.40000e-02,3.36000e+00,
-3.6309997e-04,7.20000e-02,3.36000e+00,
-3.6299997e-04,6.80000e-02,3.36000e+00,
-3.6289997e-04,6.40000e-02,3.36000e+00,
-3.6279997e-04,6.80000e-02,3.36000e+00,
-3.6269997e-04,7.60000e-02,3.36000e+00,
-3.6259997e-04,6.80000e-02,3.36000e+00,
-3.6249997e-04,6.40000e-02,3.36000e+00,
-3.6239997e-04,6.80000e-02,3.36000e+00,
-3.6229996e-04,7.60000e-02,3.36000e+00,
-3.6219996e-04,6.80000e-02,3.36000e+00,
-3.6209996e-04,6.40000e-02,3.36000e+00,
-3.6199996e-04,6.80000e-02,3.36000e+00,
-3.6189996e-04,7.20000e-02,3.36000e+00,
-3.6179996e-04,7.20000e-02,3.36000e+00,
-3.6169996e-04,6.40000e-02,3.36000e+00,
-3.6159996e-04,6.80000e-02,3.36000e+00,
-3.6149996e-04,7.20000e-02,3.36000e+00,
-3.6139996e-04,6.80000e-02,3.36000e+00,
-3.6129996e-04,6.40000e-02,3.36000e+00,
-3.6119996e-04,6.40000e-02,3.36000e+00,
-3.6109996e-04,7.60000e-02,3.36000e+00,
-3.6099995e-04,6.80000e-02,3.36000e+00,
-3.6089995e-04,6.40000e-02,3.36000e+00,
-3.6079995e-04,6.80000e-02,3.36000e+00,
-3.6069995e-04,7.20000e-02,3.36000e+00,
-3.6059995e-04,6.80000e-02,3.36000e+00,
-3.6049995e-04,6.40000e-02,3.36000e+00,
-3.6039995e-04,6.80000e-02,3.36000e+00,
-3.6029995e-04,7.20000e-02,3.36000e+00,
-3.6019995e-04,6.80000e-02,3.36000e+00,
-3.6009995e-04,6.40000e-02,3.36000e+00,
-3.5999995e-04,6.40000e-02,3.36000e+00,
-3.5989995e-04,6.80000e-02,3.36000e+00,
-3.5979995e-04,6.80000e-02,3.36000e+00,
-3.5969994e-04,6.40000e-02,3.36000e+00,
-3.5959994e-04,6.80000e-02,3.36000e+00,
-3.5949994e-04,7.20000e-02,3.36000e+00,
-3.5939994e-04,6.80000e-02,3.36000e+00,
-3.5929994e-04,6.40000e-02,3.36000e+00,
-3.5919994e-04,6.80000e-02,3.36000e+00,
-3.5909994e-04,7.60000e-02,3.36000e+00,
-3.5899994e-04,6.80000e-02,3.36000e+00,
-3.5889994e-04,6.40000e-02,3.36000e+00,
-3.5879994e-04,6.80000e-02,3.36000e+00,
-3.5869994e-04,7.20000e-02,3.36000e+00,
-3.5859994e-04,6.80000e-02,3.36000e+00,
-3.5849994e-04,6.40000e-02,3.36000e+00,
-3.5839994e-04,6.80000e-02,3.36000e+00,
-3.5829993e-04,7.20000e-02,3.36000e+00,
-3.5819993e-04,6.80000e-02,3.36000e+00,
-3.5809993e-04,6.40000e-02,3.36000e+00,
-3.5799993e-04,6.80000e-02,3.36000e+00,
-3.5789993e-04,6.80000e-02,3.36000e+00,
-3.5779993e-04,6.80000e-02,3.36000e+00,
-3.5769993e-04,6.40000e-02,3.36000e+00,
-3.5759993e-04,6.80000e-02,3.36000e+00,
-3.5749993e-04,7.20000e-02,3.36000e+00,
-3.5739993e-04,6.80000e-02,3.36000e+00,
-3.5729993e-04,5.99999e-02,3.36000e+00,
-3.5719993e-04,6.80000e-02,3.36000e+00,
-3.5709993e-04,7.60000e-02,3.36000e+00,
-3.5699992e-04,6.80000e-02,3.36000e+00,
-3.5689992e-04,6.40000e-02,3.36000e+00,
-3.5679992e-04,6.40000e-02,3.36000e+00,
-3.5669992e-04,7.20000e-02,3.36000e+00,
-3.5659992e-04,7.20000e-02,3.36000e+00,
-3.5649992e-04,6.40000e-02,3.36000e+00,
-3.5639992e-04,6.40000e-02,3.36000e+00,
-3.5629992e-04,7.20000e-02,3.36000e+00,
-3.5619992e-04,6.80000e-02,3.36000e+00,
-3.5609992e-04,6.40000e-02,3.36000e+00,
-3.5599992e-04,6.80000e-02,3.36000e+00,
-3.5589992e-04,7.20000e-02,3.36000e+00,
-3.5579992e-04,6.80000e-02,3.36000e+00,
-3.5569991e-04,6.40000e-02,3.36000e+00,
-3.5559991e-04,6.40000e-02,3.36000e+00,
-3.5549991e-04,7.20000e-02,3.36000e+00,
-3.5539991e-04,7.20000e-02,3.36000e+00,
-3.5529991e-04,6.40000e-02,3.36000e+00,
-3.5519991e-04,6.40000e-02,3.36000e+00,
-3.5509991e-04,7.60000e-02,3.36000e+00,
-3.5499991e-04,6.80000e-02,3.36000e+00,
-3.5489991e-04,6.40000e-02,3.36000e+00,
-3.5479991e-04,6.80000e-02,3.36000e+00,
-3.5469991e-04,7.20000e-02,3.36000e+00,
-3.5459991e-04,6.80000e-02,3.36000e+00,
-3.5449991e-04,6.40000e-02,3.36000e+00,
-3.5439990e-04,6.80000e-02,3.36000e+00,
-3.5429990e-04,7.60000e-02,3.36000e+00,
-3.5419990e-04,7.20000e-02,3.36000e+00,
-3.5409990e-04,6.40000e-02,3.36000e+00,
-3.5399990e-04,6.40000e-02,3.36000e+00,
-3.5389990e-04,7.20000e-02,3.36000e+00,
-3.5379990e-04,6.80000e-02,3.36000e+00,
-3.5369990e-04,6.40000e-02,3.36000e+00,
-3.5359990e-04,6.80000e-02,3.36000e+00,
-3.5349990e-04,7.20000e-02,3.36000e+00,
-3.5339990e-04,6.80000e-02,3.36000e+00,
-3.5329990e-04,6.40000e-02,3.36000e+00,
-3.5319990e-04,6.80000e-02,3.36000e+00,
-3.5309989e-04,6.80000e-02,3.36000e+00,
-3.5299989e-04,6.80000e-02,3.36000e+00,
-3.5289989e-04,6.40000e-02,3.36000e+00,
-3.5279989e-04,6.80000e-02,3.36000e+00,
-3.5269989e-04,7.20000e-02,3.36000e+00,
-3.5259989e-04,6.80000e-02,3.36000e+00,
-3.5249989e-04,5.99999e-02,3.36000e+00,
