Time,X(CH1),X(CH2),
Second,Volt,Volt,
-6.7919999e-04,7.60000e-02,3.36000e+00,
-6.7899999e-04,7.60000e-02,3.36000e+00,
-6.7879999e-04,7.60000e-02,3.36000e+00,
-6.7859999e-04,7.60000e-02,3.36000e+00,
-6.7839999e-04,7.60000e-02,3.36000e+00,
-6.7819998e-04,7.60000e-02,3.36000e+00,
-6.7799998e-04,7.60000e-02,3.36000e+00,
-6.7779998e-04,7.60000e-02,3.36000e+00,
-6.7759998e-04,7.60000e-02,3.36000e+00,
-6.7739998e-04,7.60000e-02,3.36000e+00,
-6.7719998e-04,7.60000e-02,3.36000e+00,
-6.7699997e-04,7.60000e-02,3.36000e+00,
-6.7679997e-04,7.60000e-02,3.36000e+00,
-6.7659997e-04,7.60000e-02,3.36000e+00,
-6.7639997e-04,7.60000e-02,3.36000e+00,
-6.7619997e-04,7.60000e-02,3.36000e+00,
-6.7599997e-04,7.60000e-02,3.36000e+00,
-6.7579997e-04,6.80000e-02,3.36000e+00,
-6.7559996e-04,7.60000e-02,3.36000e+00,
-6.7539996e-04,6.40000e-02,3.36000e+00,
-6.7519996e-04,8.00000e-02,3.36000e+00,
-6.7499996e-04,6.80000e-02,3.36000e+00,
-6.7479996e-04,7.60000e-02,3.36000e+00,
-6.7459996e-04,6.40000e-02,3.36000e+00,
-6.7439995e-04,7.60000e-02,3.36000e+00,
-6.7419995e-04,6.80000e-02,3.36000e+00,
-6.7399995e-04,7.60000e-02,3.36000e+00,
-6.7379995e-04,6.40000e-02,3.36000e+00,
-6.7359995e-04,7.60000e-02,3.36000e+00,
-6.7339995e-04,6.80000e-02,3.36000e+00,
-6.7319995e-04,7.60000e-02,3.36000e+00,
-6.7299994e-04,6.80000e-02,3.36000e+00,
-6.7279994e-04,7.60000e-02,3.36000e+00,
-6.7259994e-04,6.80000e-02,3.36000e+00,
-6.7239994e-04,7.60000e-02,3.36000e+00,
-6.7219994e-04,6.80000e-02,3.36000e+00,
