Time,X(CH1),X(CH2),
Second,Volt,Volt,
-1.4024000e-03,7.99996e-03,3.36000e+00,
-1.4020000e-03,7.99996e-03,3.36000e+00,
-1.4016000e-03,7.99996e-03,3.36000e+00,
-1.4012000e-03,7.99996e-03,3.36000e+00,
-1.4008000e-03,7.99996e-03,3.36000e+00,
-1.4004000e-03,7.99996e-03,3.36000e+00,
-1.4000000e-03,7.99996e-03,3.36000e+00,
-1.3995999e-03,7.99996e-03,3.36000e+00,
-1.3991999e-03,7.99996e-03,3.36000e+00,
-1.3987999e-03,7.99996e-03,3.36000e+00,
-1.3983999e-03,7.99996e-03,3.36000e+00,
-1.3979999e-03,7.99996e-03,3.36000e+00,
-1.3975999e-03,7.99996e-03,3.36000e+00,
-1.3971999e-03,7.99996e-03,3.36000e+00,
-1.3967999e-03,7.99996e-03,3.36000e+00,
-1.3963999e-03,7.99996e-03,3.36000e+00,
-1.3959999e-03,7.99996e-03,3.36000e+00,
-1.3955999e-03,7.99996e-03,3.36000e+00,
-1.3951999e-03,7.99996e-03,3.36000e+00,
-1.3947999e-03,7.99996e-03,3.36000e+00,
-1.3943999e-03,7.99996e-03,3.36000e+00,
-1.3939999e-03,7.99996e-03,3.36000e+00,
-1.3935999e-03,7.99996e-03,3.36000e+00,
-1.3931999e-03,7.99996e-03,3.36000e+00,
-1.3927999e-03,7.99996e-03,3.36000e+00,
-1.3923999e-03,7.99996e-03,3.36000e+00,
-1.3919999e-03,7.99996e-03,3.36000e+00,
-1.3915999e-03,7.99996e-03,3.36000e+00,
-1.3911999e-03,7.99996e-03,3.36000e+00,
-1.3907999e-03,7.99996e-03,3.36000e+00,
-1.3903999e-03,7.99996e-03,3.36000e+00,
-1.3899999e-03,3.99995e-03,3.36000e+00,
-1.3895999e-03,3.99995e-03,3.36000e+00,
-1.3891999e-03,7.99996e-03,3.36000e+00,
-1.3887999e-03,7.99996e-03,3.36000e+00,
-1.3883999e-03,7.99996e-03,3.36000e+00,
-1.3879999e-03,7.99996e-03,3.36000e+00,
-1.3875999e-03,3.99995e-03,3.36000e+00,
-1.3871999e-03,3.99995e-03,3.36000e+00,
-1.3867998e-03,7.99996e-03,3.36000e+00,
-1.3863998e-03,3.99995e-03,3.36000e+00,
-1.3859998e-03,3.99995e-03,3.36000e+00,
-1.3855998e-03,3.99995e-03,3.36000e+00,
-1.3851998e-03,3.99995e-03,3.36000e+00,
-1.3847998e-03,-0.00000e+00,3.36000e+00,
-1.3843998e-03,3.99995e-03,3.36000e+00,
-1.3839998e-03,-0.00000e+00,3.36000e+00,
-1.3835998e-03,-0.00000e+00,3.36000e+00,
-1.3831998e-03,3.99995e-03,3.36000e+00,
-1.3827998e-03,-0.00000e+00,3.36000e+00,
-1.3823998e-03,-0.00000e+00,3.36000e+00,
-1.3819998e-03,3.99995e-03,3.36000e+00,
-1.3815998e-03,3.99995e-03,3.36000e+00,
-1.3811998e-03,-0.00000e+00,3.36000e+00,
-1.3807998e-03,-0.00000e+00,3.36000e+00,
-1.3803998e-03,-0.00000e+00,3.36000e+00,
-1.3799998e-03,3.99995e-03,3.36000e+00,
-1.3795998e-03,-0.00000e+00,3.36000e+00,
-1.3791998e-03,3.99995e-03,3.36000e+00,
-1.3787998e-03,-0.00000e+00,3.36000e+00,
-1.3783998e-03,-0.00000e+00,3.36000e+00,
-1.3779998e-03,-0.00000e+00,3.36000e+00,
-1.3775998e-03,-4.00001e-03,3.36000e+00,
-1.3771998e-03,-4.00001e-03,3.36000e+00,
-1.3767998e-03,-0.00000e+00,3.36000e+00,
-1.3763998e-03,-0.00000e+00,3.36000e+00,
-1.3759998e-03,-4.00001e-03,3.36000e+00,
-1.3755998e-03,-0.00000e+00,3.36000e+00,
-1.3751998e-03,3.99995e-03,3.36000e+00,
-1.3747998e-03,3.99995e-03,3.36000e+00,
-1.3743998e-03,-4.00001e-03,3.36000e+00,
-1.3739998e-03,-0.00000e+00,3.36000e+00,
-1.3735997e-03,-0.00000e+00,3.36000e+00,
-1.3731997e-03,3.99995e-03,3.36000e+00,
-1.3727997e-03,7.99996e-03,3.36000e+00,
-1.3723997e-03,3.99995e-03,3.36000e+00,
-1.3719997e-03,3.99995e-03,3.36000e+00,
-1.3715997e-03,3.99995e-03,3.36000e+00,
-1.3711997e-03,3.99995e-03,3.36000e+00,
-1.3707997e-03,-0.00000e+00,3.36000e+00,
-1.3703997e-03,3.99995e-03,3.36000e+00,
-1.3699997e-03,3.99995e-03,3.36000e+00,
-1.3695997e-03,7.99996e-03,3.36000e+00,
-1.3691997e-03,7.99996e-03,3.36000e+00,
-1.3687997e-03,7.99996e-03,3.36000e+00,
-1.3683997e-03,7.99996e-03,3.36000e+00,
-1.3679997e-03,7.99996e-03,3.36000e+00,
-1.3675997e-03,7.99996e-03,3.36000e+00,
-1.3671997e-03,7.99996e-03,3.36000e+00,
-1.3667997e-03,7.99996e-03,3.36000e+00,
-1.3663997e-03,1.20000e-02,3.36000e+00,
-1.3659997e-03,7.99996e-03,3.36000e+00,
-1.3655997e-03,7.99996e-03,3.36000e+00,
-1.3651997e-03,1.20000e-02,3.36000e+00,
-1.3647997e-03,7.99996e-03,3.36000e+00,
-1.3643997e-03,7.99996e-03,3.36000e+00,
-1.3639997e-03,7.99996e-03,3.36000e+00,
-1.3635997e-03,7.99996e-03,3.36000e+00,
-1.3631997e-03,7.99996e-03,3.36000e+00,
-1.3627997e-03,1.20000e-02,3.36000e+00,
-1.3623997e-03,1.20000e-02,3.36000e+00,
-1.3619997e-03,1.20000e-02,3.36000e+00,
-1.3615997e-03,7.99996e-03,3.36000e+00,
-1.3611997e-03,7.99996e-03,3.36000e+00,
-1.3607997e-03,7.99996e-03,3.36000e+00,
-1.3603996e-03,7.99996e-03,3.28000e+00,
-1.3599996e-03,7.99996e-03,3.36000e+00,
-1.3595996e-03,7.99996e-03,3.36000e+00,
-1.3591996e-03,7.99996e-03,3.36000e+00,
-1.3587996e-03,7.99996e-03,3.36000e+00,
-1.3583996e-03,3.99995e-03,3.36000e+00,
-1.3579996e-03,3.99995e-03,3.36000e+00,
-1.3575996e-03,7.99996e-03,3.36000e+00,
-1.3571996e-03,3.99995e-03,3.36000e+00,
-1.3567996e-03,3.99995e-03,3.36000e+00,
