Time,X(CH1),X(CH2),
Second,Volt,Volt,
-4.0000006e-05,3.19999e-02,3.32000e+00,
-3.9600007e-05,4.40000e-02,3.36000e+00,
-3.9200007e-05,4.00000e-02,3.32000e+00,
-3.8800008e-05,2.79999e-02,3.32000e+00,
-3.8400009e-05,5.99999e-02,3.36000e+00,
-3.8000009e-05,2.00000e-02,3.32000e+00,
-3.7600010e-05,4.40000e-02,3.32000e+00,
-3.7200010e-05,2.40000e-02,3.32000e+00,
-3.6800011e-05,4.40000e-02,3.32000e+00,
-3.6400012e-05,3.19999e-02,3.36000e+00,
-3.6000012e-05,4.40000e-02,3.36000e+00,
-3.5600013e-05,3.19999e-02,3.32000e+00,
-3.5200013e-05,4.40000e-02,3.32000e+00,
-3.4800014e-05,3.19999e-02,3.32000e+00,
-3.4400015e-05,3.60000e-02,3.32000e+00,
-3.4000015e-05,4.00000e-02,3.32000e+00,
-3.3600016e-05,4.40000e-02,3.32000e+00,
-3.3200016e-05,3.19999e-02,3.36000e+00,
-3.2800017e-05,3.19999e-02,3.32000e+00,
-3.2400018e-05,4.40000e-02,3.36000e+00,
-3.2000018e-05,3.60000e-02,3.32000e+00,
-3.1600019e-05,4.40000e-02,3.32000e+00,
-3.1200019e-05,4.40000e-02,3.32000e+00,
-3.0800020e-05,3.19999e-02,3.36000e+00,
-3.0400020e-05,3.19999e-02,3.32000e+00,
-3.0000021e-05,4.80000e-02,3.32000e+00,
-2.9600022e-05,4.40000e-02,3.32000e+00,
-2.9200022e-05,3.19999e-02,3.36000e+00,
-2.8800023e-05,5.20000e-02,3.36000e+00,
-2.8400023e-05,3.19999e-02,3.32000e+00,
-2.8000024e-05,4.40000e-02,3.36000e+00,
-2.7600025e-05,3.19999e-02,3.32000e+00,
-2.7200025e-05,3.19999e-02,3.36000e+00,
-2.6800026e-05,4.40000e-02,3.32000e+00,
-2.6400026e-05,5.59999e-02,3.32000e+00,
-2.6000027e-05,2.00000e-02,3.36000e+00,
-2.5600028e-05,2.40000e-02,3.36000e+00,
-2.5200028e-05,5.20000e-02,3.32000e+00,
-2.4800029e-05,4.80000e-02,3.32000e+00,
-2.4400029e-05,3.19999e-02,3.36000e+00,
-2.4000030e-05,3.19999e-02,3.32000e+00,
-2.3600031e-05,4.40000e-02,3.32000e+00,
-2.3200031e-05,3.19999e-02,3.32000e+00,
-2.2800032e-05,4.00000e-02,3.32000e+00,
-2.2400032e-05,3.19999e-02,3.32000e+00,
-2.2000033e-05,4.40000e-02,3.36000e+00,
-2.1600034e-05,3.19999e-02,3.36000e+00,
-2.1200034e-05,4.40000e-02,3.32000e+00,
-2.0800035e-05,3.19999e-02,3.32000e+00,
-2.0400035e-05,4.40000e-02,3.36000e+00,
-2.0000036e-05,3.19999e-02,3.32000e+00,
-1.9600036e-05,4.40000e-02,3.32000e+00,
-1.9200037e-05,3.60000e-02,3.36000e+00,
-1.8800038e-05,4.00000e-02,3.32000e+00,
-1.8400038e-05,3.19999e-02,3.36000e+00,
-1.8000039e-05,4.80000e-02,3.32000e+00,
-1.7600039e-05,3.19999e-02,3.36000e+00,
-1.7200040e-05,4.80000e-02,3.32000e+00,
-1.6800041e-05,3.19999e-02,3.32000e+00,
-1.6400041e-05,4.40000e-02,3.36000e+00,
-1.6000042e-05,3.19999e-02,3.32000e+00,
-1.5600042e-05,4.40000e-02,3.32000e+00,
-1.5200042e-05,3.19999e-02,3.32000e+00,
-1.4800042e-05,4.40000e-02,3.36000e+00,
-1.4400041e-05,3.19999e-02,3.32000e+00,
-1.4000041e-05,4.40000e-02,3.32000e+00,
-1.3600041e-05,5.59999e-02,3.32000e+00,
-1.3200040e-05,2.40000e-02,3.36000e+00,
-1.2800040e-05,2.40000e-02,3.36000e+00,
-1.2400040e-05,4.40000e-02,3.32000e+00,
-1.2000040e-05,3.60000e-02,3.36000e+00,
-1.1600039e-05,4.40000e-02,3.32000e+00,
-1.1200039e-05,3.19999e-02,3.32000e+00,
-1.0800039e-05,4.40000e-02,3.32000e+00,
-1.0400038e-05,3.19999e-02,3.32000e+00,
-1.0000038e-05,4.40000e-02,3.36000e+00,
-9.6000376e-06,3.60000e-02,3.32000e+00,
-9.2000373e-06,4.40000e-02,3.36000e+00,
-8.8000370e-06,3.19999e-02,3.32000e+00,
-8.4000367e-06,4.40000e-02,3.32000e+00,
-8.0000364e-06,3.19999e-02,3.36000e+00,
-7.6000365e-06,4.40000e-02,3.32000e+00,
-7.2000366e-06,4.00000e-02,3.32000e+00,
-6.8000368e-06,3.60000e-02,3.36000e+00,
-6.4000369e-06,4.00000e-02,3.32000e+00,
-6.0000370e-06,3.60000e-02,3.36000e+00,
-5.6000372e-06,3.19999e-02,3.32000e+00,
-5.2000373e-06,4.80000e-02,3.36000e+00,
-4.8000375e-06,3.19999e-02,3.32000e+00,
-4.4000376e-06,4.40000e-02,3.36000e+00,
-4.0000377e-06,4.40000e-02,3.32000e+00,
-3.6000376e-06,3.19999e-02,3.36000e+00,
-3.2000376e-06,4.40000e-02,3.32000e+00,
-2.8000375e-06,3.19999e-02,3.36000e+00,
-2.4000374e-06,3.19999e-02,3.32000e+00,
-2.0000373e-06,4.40000e-02,3.36000e+00,
-1.6000373e-06,5.20000e-02,3.32000e+00,
-1.2000373e-06,2.00000e-02,3.36000e+00,
-8.0003736e-07,2.79999e-02,3.32000e+00,
-4.0003735e-07,5.20000e-02,3.36000e+00,
-3.7346126e-11,4.80000e-02,3.36000e+00,
3.9996266e-07,2.40000e-02,3.32000e+00,
7.9996266e-07,3.60000e-02,3.32000e+00,
1.1999626e-06,4.80000e-02,3.36000e+00,
1.5999626e-06,4.00000e-02,3.32000e+00,
1.9999627e-06,5.20000e-02,3.32000e+00,
2.3999628e-06,4.00000e-02,3.32000e+00,
2.7999629e-06,5.59999e-02,3.32000e+00,
3.1999630e-06,5.59999e-02,3.32000e+00,
3.5999631e-06,4.40000e-02,3.36000e+00,
3.9999632e-06,4.80000e-02,3.32000e+00,
4.3999630e-06,5.59999e-02,3.36000e+00,
4.7999629e-06,5.59999e-02,3.32000e+00,
5.1999627e-06,5.20000e-02,3.32000e+00,
5.5999626e-06,5.99999e-02,3.32000e+00,
5.9999625e-06,5.20000e-02,3.36000e+00,
6.3999623e-06,6.40000e-02,3.36000e+00,
6.7999622e-06,5.20000e-02,3.32000e+00,
7.1999621e-06,6.80000e-02,3.36000e+00,
7.5999619e-06,5.59999e-02,3.32000e+00,
7.9999618e-06,6.80000e-02,3.32000e+00,
8.3999621e-06,5.59999e-02,3.36000e+00,
8.7999624e-06,7.20000e-02,3.32000e+00,
9.1999627e-06,5.99999e-02,3.32000e+00,
9.5999631e-06,7.20000e-02,3.32000e+00,
9.9999634e-06,6.40000e-02,3.36000e+00,
1.0399964e-05,5.20000e-02,3.36000e+00,
1.0799964e-05,8.00000e-02,3.32000e+00,
1.1199964e-05,5.59999e-02,3.32000e+00,
1.1599965e-05,8.79999e-02,3.36000e+00,
1.1999965e-05,6.80000e-02,3.32000e+00,
1.2399965e-05,8.40000e-02,3.36000e+00,
1.2799966e-05,7.20000e-02,3.32000e+00,
1.3199966e-05,8.40000e-02,3.32000e+00,
1.3599966e-05,7.20000e-02,3.32000e+00,
1.3999967e-05,8.79999e-02,3.36000e+00,
1.4399967e-05,8.00000e-02,3.36000e+00,
1.4799967e-05,8.79999e-02,3.32000e+00,
1.5199967e-05,8.00000e-02,3.36000e+00,
1.5599968e-05,8.79999e-02,3.32000e+00,
1.5999967e-05,8.40000e-02,3.32000e+00,
1.6399967e-05,9.60000e-02,3.32000e+00,
1.6799966e-05,9.60000e-02,3.36000e+00,
1.7199965e-05,8.40000e-02,3.32000e+00,
1.7599965e-05,8.79999e-02,3.36000e+00,
1.7999964e-05,9.60000e-02,3.32000e+00,
1.8399964e-05,8.79999e-02,3.32000e+00,
1.8799963e-05,1.00000e-01,3.32000e+00,
1.9199962e-05,1.04000e-01,3.32000e+00,
1.9599962e-05,8.79999e-02,3.36000e+00,
1.9999961e-05,9.60000e-02,3.32000e+00,
2.0399961e-05,1.04000e-01,3.36000e+00,
2.0799960e-05,1.00000e-01,3.32000e+00,
2.1199960e-05,1.08000e-01,3.36000e+00,
2.1599959e-05,1.16000e-01,3.32000e+00,
2.1999958e-05,9.60000e-02,3.36000e+00,
2.2399958e-05,1.00000e-01,3.32000e+00,
2.2799957e-05,1.20000e-01,3.36000e+00,
2.3199957e-05,1.04000e-01,3.32000e+00,
2.3599956e-05,1.20000e-01,3.36000e+00,
2.3999955e-05,1.00000e-01,3.32000e+00,
2.4399955e-05,1.20000e-01,3.36000e+00,
2.4799954e-05,1.04000e-01,3.32000e+00,
2.5199954e-05,1.20000e-01,3.36000e+00,
2.5599953e-05,1.12000e-01,3.36000e+00,
2.5999952e-05,1.20000e-01,3.32000e+00,
2.6399952e-05,1.12000e-01,3.36000e+00,
2.6799951e-05,1.24000e-01,3.32000e+00,
2.7199951e-05,1.16000e-01,3.32000e+00,
2.7599950e-05,1.28000e-01,3.32000e+00,
2.7999949e-05,1.16000e-01,3.36000e+00,
2.8399949e-05,1.28000e-01,3.32000e+00,
2.8799948e-05,1.20000e-01,3.32000e+00,
2.9199948e-05,1.32000e-01,3.36000e+00,
2.9599947e-05,1.20000e-01,3.36000e+00,
2.9999946e-05,1.32000e-01,3.32000e+00,
3.0399946e-05,1.24000e-01,3.36000e+00,
3.0799947e-05,1.36000e-01,3.32000e+00,
3.1199947e-05,1.28000e-01,3.36000e+00,
3.1599946e-05,1.36000e-01,3.32000e+00,
3.1999945e-05,1.28000e-01,3.32000e+00,
3.2399945e-05,1.36000e-01,3.32000e+00,
3.2799944e-05,1.32000e-01,3.36000e+00,
3.3199944e-05,1.40000e-01,3.32000e+00,
3.3599943e-05,1.32000e-01,3.32000e+00,
3.3999942e-05,1.44000e-01,3.36000e+00,
3.4399942e-05,1.36000e-01,3.32000e+00,
3.4799941e-05,1.48000e-01,3.32000e+00,
3.5199941e-05,1.32000e-01,3.36000e+00,
3.5599940e-05,1.56000e-01,3.28000e+00,
3.5999939e-05,1.36000e-01,3.36000e+00,
3.6399939e-05,1.56000e-01,3.32000e+00,
3.6799938e-05,1.36000e-01,3.36000e+00,
3.7199938e-05,1.52000e-01,3.32000e+00,
3.7599937e-05,1.44000e-01,3.32000e+00,
3.7999936e-05,1.56000e-01,3.36000e+00,
3.8399936e-05,1.52000e-01,3.32000e+00,
3.8799935e-05,1.48000e-01,3.32000e+00,
3.9199935e-05,1.48000e-01,3.32000e+00,
3.9599934e-05,1.60000e-01,3.36000e+00,
3.9999934e-05,1.52000e-01,3.32000e+00,
4.0399933e-05,1.60000e-01,3.36000e+00,
4.0799932e-05,1.52000e-01,3.32000e+00,
4.1199932e-05,1.60000e-01,3.36000e+00,
4.1599931e-05,1.64000e-01,3.32000e+00,
4.1999931e-05,1.56000e-01,3.36000e+00,
4.2399930e-05,1.68000e-01,3.32000e+00,
4.2799929e-05,1.56000e-01,3.32000e+00,
4.3199929e-05,1.60000e-01,3.36000e+00,
4.3599928e-05,1.72000e-01,3.32000e+00,
4.3999928e-05,1.72000e-01,3.36000e+00,
4.4399927e-05,1.60000e-01,3.32000e+00,
4.4799926e-05,1.64000e-01,3.32000e+00,
4.5199926e-05,1.76000e-01,3.36000e+00,
4.5599925e-05,1.76000e-01,3.32000e+00,
4.5999925e-05,1.64000e-01,3.36000e+00,
4.6399924e-05,1.76000e-01,3.32000e+00,
4.6799923e-05,1.68000e-01,3.36000e+00,
4.7199923e-05,1.80000e-01,3.32000e+00,
4.7599922e-05,1.72000e-01,3.36000e+00,
4.7999922e-05,1.92000e-01,3.32000e+00,
4.8399921e-05,1.68000e-01,3.32000e+00,
4.8799920e-05,1.68000e-01,3.32000e+00,
4.9199920e-05,1.88000e-01,3.36000e+00,
4.9599919e-05,1.80000e-01,3.32000e+00,
4.9999919e-05,1.88000e-01,3.36000e+00,
5.0399918e-05,1.76000e-01,3.32000e+00,
5.0799918e-05,1.92000e-01,3.36000e+00,
5.1199917e-05,1.92000e-01,3.36000e+00,
5.1599916e-05,1.84000e-01,3.32000e+00,
