Time,X(CH1),X(CH2),
Second,Volt,Volt,
-1.7600003e-05,4.40000e-02,3.32000e+00,
-1.7400003e-05,3.19999e-02,3.36000e+00,
-1.7200004e-05,3.60000e-02,3.32000e+00,
-1.7000004e-05,4.40000e-02,3.36000e+00,
-1.6800004e-05,3.60000e-02,3.32000e+00,
-1.6600005e-05,4.40000e-02,3.36000e+00,
-1.6400005e-05,4.40000e-02,3.32000e+00,
-1.6200005e-05,3.60000e-02,3.36000e+00,
-1.6000005e-05,4.40000e-02,3.32000e+00,
-1.5800006e-05,3.19999e-02,3.36000e+00,
-1.5600006e-05,4.40000e-02,3.32000e+00,
-1.5400006e-05,3.19999e-02,3.36000e+00,
-1.5200007e-05,4.40000e-02,3.32000e+00,
-1.5000007e-05,3.60000e-02,3.36000e+00,
-1.4800007e-05,4.40000e-02,3.32000e+00,
-1.4600007e-05,3.60000e-02,3.36000e+00,
-1.4400008e-05,4.80000e-02,3.32000e+00,
-1.4200008e-05,3.19999e-02,3.36000e+00,
-1.4000008e-05,5.59999e-02,3.32000e+00,
-1.3800009e-05,2.00000e-02,3.36000e+00,
-1.3600009e-05,2.40000e-02,3.32000e+00,
-1.3400009e-05,5.59999e-02,3.36000e+00,
-1.3200010e-05,5.20000e-02,3.32000e+00,
-1.3000010e-05,3.19999e-02,3.36000e+00,
-1.2800010e-05,2.79999e-02,3.32000e+00,
-1.2600010e-05,5.20000e-02,3.36000e+00,
-1.2400011e-05,5.20000e-02,3.32000e+00,
-1.2200011e-05,2.79999e-02,3.36000e+00,
-1.2000011e-05,4.80000e-02,3.32000e+00,
-1.1800012e-05,2.79999e-02,3.36000e+00,
-1.1600012e-05,5.20000e-02,3.36000e+00,
-1.1400012e-05,3.19999e-02,3.32000e+00,
-1.1200013e-05,4.40000e-02,3.32000e+00,
-1.1000013e-05,3.19999e-02,3.36000e+00,
-1.0800013e-05,4.40000e-02,3.36000e+00,
-1.0600013e-05,3.19999e-02,3.32000e+00,
-1.0400014e-05,3.19999e-02,3.32000e+00,
-1.0200014e-05,4.80000e-02,3.36000e+00,
-1.0000014e-05,3.19999e-02,3.32000e+00,
-9.8000146e-06,4.80000e-02,3.36000e+00,
-9.6000149e-06,3.60000e-02,3.32000e+00,
-9.4000152e-06,4.40000e-02,3.36000e+00,
-9.2000155e-06,4.80000e-02,3.32000e+00,
-9.0000158e-06,3.19999e-02,3.36000e+00,
-8.8000161e-06,3.60000e-02,3.32000e+00,
-8.6000164e-06,4.80000e-02,3.32000e+00,
-8.4000167e-06,3.60000e-02,3.32000e+00,
-8.2000170e-06,4.40000e-02,3.36000e+00,
-8.0000173e-06,4.40000e-02,3.32000e+00,
-7.8000176e-06,3.19999e-02,3.36000e+00,
-7.6000174e-06,4.40000e-02,3.36000e+00,
-7.4000172e-06,3.19999e-02,3.32000e+00,
-7.2000171e-06,4.40000e-02,3.32000e+00,
-7.0000169e-06,3.60000e-02,3.36000e+00,
-6.8000168e-06,4.40000e-02,3.36000e+00,
-6.6000166e-06,3.60000e-02,3.32000e+00,
-6.4000164e-06,3.19999e-02,3.36000e+00,
-6.2000163e-06,4.40000e-02,3.32000e+00,
-6.0000161e-06,4.40000e-02,3.32000e+00,
-5.8000160e-06,3.60000e-02,3.32000e+00,
-5.6000158e-06,3.60000e-02,3.32000e+00,
-5.4000157e-06,4.40000e-02,3.36000e+00,
-5.2000155e-06,3.60000e-02,3.32000e+00,
-5.0000153e-06,4.80000e-02,3.36000e+00,
-4.8000152e-06,3.60000e-02,3.36000e+00,
-4.6000150e-06,4.40000e-02,3.32000e+00,
-4.4000149e-06,3.60000e-02,3.32000e+00,
-4.2000147e-06,4.40000e-02,3.36000e+00,
-4.0000145e-06,4.40000e-02,3.36000e+00,
-3.8000146e-06,3.60000e-02,3.32000e+00,
-3.6000147e-06,4.40000e-02,3.32000e+00,
-3.4000147e-06,3.60000e-02,3.32000e+00,
-3.2000148e-06,3.60000e-02,3.32000e+00,
-3.0000149e-06,4.40000e-02,3.36000e+00,
-2.8000150e-06,4.40000e-02,3.32000e+00,
-2.6000150e-06,3.19999e-02,3.36000e+00,
-2.4000151e-06,3.60000e-02,3.32000e+00,
-2.2000152e-06,4.80000e-02,3.36000e+00,
-2.0000152e-06,5.99999e-02,3.36000e+00,
-1.8000152e-06,2.40000e-02,3.32000e+00,
-1.6000151e-06,5.59999e-02,3.32000e+00,
-1.4000151e-06,2.79999e-02,3.36000e+00,
-1.2000150e-06,5.59999e-02,3.36000e+00,
-1.0000150e-06,2.79999e-02,3.32000e+00,
-8.0001502e-07,5.20000e-02,3.32000e+00,
-6.0001503e-07,3.19999e-02,3.36000e+00,
-4.0001504e-07,4.40000e-02,3.36000e+00,
-2.0001504e-07,2.79999e-02,3.32000e+00,
-1.5035084e-11,1.84000e-01,3.32000e+00,
1.9998497e-07,2.79999e-02,3.36000e+00,
3.9998497e-07,3.60000e-02,3.32000e+00,
5.9998496e-07,5.20000e-02,3.36000e+00,
7.9998495e-07,4.80000e-02,3.32000e+00,
9.9998499e-07,3.60000e-02,3.36000e+00,
1.1999850e-06,3.60000e-02,3.32000e+00,
1.3999851e-06,5.20000e-02,3.36000e+00,
1.5999851e-06,5.20000e-02,3.36000e+00,
1.7999852e-06,4.00000e-02,3.32000e+00,
1.9999852e-06,5.20000e-02,3.32000e+00,
2.1999851e-06,4.00000e-02,3.36000e+00,
2.3999851e-06,5.20000e-02,3.32000e+00,
2.5999850e-06,4.40000e-02,3.36000e+00,
2.7999849e-06,5.20000e-02,3.32000e+00,
2.9999849e-06,4.40000e-02,3.36000e+00,
3.1999848e-06,5.59999e-02,3.32000e+00,
3.3999847e-06,4.80000e-02,3.36000e+00,
3.5999847e-06,5.59999e-02,3.32000e+00,
3.7999846e-06,4.40000e-02,3.36000e+00,
3.9999845e-06,5.59999e-02,3.32000e+00,
4.1999847e-06,4.80000e-02,3.32000e+00,
4.3999848e-06,5.59999e-02,3.32000e+00,
4.5999850e-06,5.20000e-02,3.36000e+00,
4.7999852e-06,5.20000e-02,3.32000e+00,
4.9999853e-06,5.99999e-02,3.32000e+00,
5.1999855e-06,5.20000e-02,3.36000e+00,
5.3999856e-06,5.99999e-02,3.32000e+00,
5.5999858e-06,5.20000e-02,3.32000e+00,
5.7999860e-06,6.40000e-02,3.36000e+00,
5.9999861e-06,5.59999e-02,3.32000e+00,
6.1999863e-06,6.40000e-02,3.36000e+00,
6.3999864e-06,6.40000e-02,3.32000e+00,
6.5999866e-06,5.59999e-02,3.36000e+00,
6.7999867e-06,6.40000e-02,3.32000e+00,
6.9999869e-06,5.59999e-02,3.36000e+00,
