Time,X(CH1),X(CH2),
Second,Volt,Volt,
-8.6000018e-06,3.19999e-02,3.36000e+00,
-8.5000020e-06,4.40000e-02,3.32000e+00,
-8.4000021e-06,4.40000e-02,3.36000e+00,
-8.3000023e-06,3.19999e-02,3.32000e+00,
-8.2000024e-06,4.00000e-02,3.32000e+00,
-8.1000026e-06,3.60000e-02,3.36000e+00,
-8.0000027e-06,3.19999e-02,3.36000e+00,
-7.9000029e-06,4.40000e-02,3.32000e+00,
-7.8000030e-06,4.00000e-02,3.32000e+00,
-7.7000032e-06,3.19999e-02,3.36000e+00,
-7.6000033e-06,4.40000e-02,3.36000e+00,
-7.5000034e-06,3.60000e-02,3.32000e+00,
-7.4000036e-06,3.60000e-02,3.36000e+00,
-7.3000037e-06,4.00000e-02,3.32000e+00,
-7.2000039e-06,3.60000e-02,3.36000e+00,
-7.1000040e-06,4.40000e-02,3.32000e+00,
-7.0000042e-06,3.60000e-02,3.36000e+00,
-6.9000043e-06,4.40000e-02,3.32000e+00,
-6.8000045e-06,4.40000e-02,3.36000e+00,
-6.7000046e-06,3.19999e-02,3.32000e+00,
-6.6000048e-06,3.60000e-02,3.36000e+00,
-6.5000049e-06,4.40000e-02,3.32000e+00,
-6.4000051e-06,4.40000e-02,3.32000e+00,
-6.3000052e-06,3.19999e-02,3.36000e+00,
-6.2000054e-06,3.19999e-02,3.36000e+00,
-6.1000055e-06,4.40000e-02,3.32000e+00,
-6.0000057e-06,4.40000e-02,3.36000e+00,
-5.9000058e-06,3.19999e-02,3.32000e+00,
-5.8000060e-06,4.40000e-02,3.32000e+00,
-5.7000061e-06,3.19999e-02,3.36000e+00,
-5.6000063e-06,4.40000e-02,3.36000e+00,
-5.5000064e-06,3.60000e-02,3.32000e+00,
-5.4000066e-06,3.19999e-02,3.36000e+00,
-5.3000067e-06,4.40000e-02,3.32000e+00,
-5.2000069e-06,2.79999e-02,3.36000e+00,
-5.1000070e-06,5.20000e-02,3.32000e+00,
-5.0000071e-06,2.40000e-02,3.32000e+00,
-4.9000073e-06,5.59999e-02,3.36000e+00,
-4.8000074e-06,2.40000e-02,3.32000e+00,
-4.7000076e-06,5.59999e-02,3.36000e+00,
-4.6000077e-06,6.40000e-02,3.32000e+00,
-4.5000079e-06,-8.00002e-03,3.36000e+00,
-4.4000080e-06,8.00000e-02,3.36000e+00,
-4.3000082e-06,2.00000e-02,3.32000e+00,
-4.2000083e-06,7.60000e-02,3.32000e+00,
-4.1000085e-06,1.20000e-02,3.40000e+00,
-4.0000086e-06,1.20000e-02,3.28000e+00,
-3.9000088e-06,6.40000e-02,3.36000e+00,
-3.8000087e-06,2.00000e-02,3.32000e+00,
-3.7000086e-06,5.20000e-02,3.36000e+00,
-3.6000085e-06,5.99999e-02,3.36000e+00,
-3.5000085e-06,2.40000e-02,3.28000e+00,
-3.4000084e-06,4.80000e-02,3.32000e+00,
-3.3000083e-06,3.19999e-02,3.36000e+00,
-3.2000082e-06,3.19999e-02,3.32000e+00,
-3.1000081e-06,4.80000e-02,3.36000e+00,
-3.0000081e-06,2.79999e-02,3.36000e+00,
-2.9000080e-06,4.00000e-02,3.32000e+00,
-2.8000079e-06,4.40000e-02,3.36000e+00,
-2.7000078e-06,3.19999e-02,3.32000e+00,
-2.6000077e-06,4.40000e-02,3.36000e+00,
-2.5000077e-06,2.79999e-02,3.32000e+00,
-2.4000076e-06,3.19999e-02,3.32000e+00,
-2.3000075e-06,4.40000e-02,3.36000e+00,
-2.2000074e-06,3.19999e-02,3.36000e+00,
-2.1000074e-06,4.40000e-02,3.32000e+00,
-2.0000073e-06,3.19999e-02,3.36000e+00,
-1.9000073e-06,4.40000e-02,3.32000e+00,
-1.8000073e-06,4.40000e-02,3.36000e+00,
-1.7000074e-06,3.19999e-02,3.32000e+00,
-1.6000074e-06,4.40000e-02,3.32000e+00,
-1.5000074e-06,3.19999e-02,3.36000e+00,
-1.4000075e-06,4.80000e-02,3.32000e+00,
-1.3000075e-06,3.19999e-02,3.36000e+00,
-1.2000075e-06,4.40000e-02,3.36000e+00,
-1.1000076e-06,3.19999e-02,3.32000e+00,
-1.0000076e-06,3.19999e-02,3.32000e+00,
-9.0000759e-07,4.40000e-02,3.36000e+00,
-8.0000757e-07,4.40000e-02,3.36000e+00,
-7.0000755e-07,3.19999e-02,3.32000e+00,
-6.0000752e-07,3.19999e-02,3.36000e+00,
-5.0000750e-07,4.40000e-02,3.32000e+00,
-4.0000751e-07,3.60000e-02,3.36000e+00,
-3.0000751e-07,4.40000e-02,3.32000e+00,
-2.0000752e-07,3.19999e-02,3.36000e+00,
-1.0000752e-07,4.40000e-02,3.32000e+00,
-7.5175421e-12,6.40000e-02,3.32000e+00,
9.9992484e-08,-3.20001e-02,3.36000e+00,
1.9999248e-07,4.40000e-02,3.32000e+00,
2.9999248e-07,3.19999e-02,3.36000e+00,
3.9999247e-07,3.60000e-02,3.36000e+00,
4.9999250e-07,4.40000e-02,3.32000e+00,
5.9999252e-07,4.40000e-02,3.36000e+00,
6.9999254e-07,3.60000e-02,3.32000e+00,
7.9999256e-07,3.60000e-02,3.36000e+00,
8.9999259e-07,4.80000e-02,3.32000e+00,
9.9999261e-07,4.80000e-02,3.32000e+00,
1.0999926e-06,3.60000e-02,3.36000e+00,
1.1999925e-06,4.00000e-02,3.32000e+00,
1.2999925e-06,4.80000e-02,3.36000e+00,
1.3999925e-06,4.80000e-02,3.36000e+00,
1.4999924e-06,4.00000e-02,3.32000e+00,
1.5999924e-06,4.00000e-02,3.36000e+00,
1.6999924e-06,4.80000e-02,3.32000e+00,
1.7999923e-06,4.80000e-02,3.36000e+00,
1.8999923e-06,4.00000e-02,3.32000e+00,
1.9999923e-06,4.00000e-02,3.36000e+00,
2.0999923e-06,5.20000e-02,3.32000e+00,
2.1999924e-06,5.20000e-02,3.32000e+00,
2.2999925e-06,3.60000e-02,3.36000e+00,
2.3999926e-06,3.60000e-02,3.32000e+00,
2.4999927e-06,5.20000e-02,3.36000e+00,
2.5999927e-06,5.20000e-02,3.32000e+00,
2.6999928e-06,4.00000e-02,3.36000e+00,
2.7999929e-06,5.20000e-02,3.36000e+00,
2.8999930e-06,4.40000e-02,3.32000e+00,
2.9999931e-06,5.59999e-02,3.36000e+00,
3.0999931e-06,4.40000e-02,3.32000e+00,
3.1999932e-06,4.40000e-02,3.32000e+00,
3.2999933e-06,5.59999e-02,3.36000e+00,
3.3999934e-06,4.40000e-02,3.36000e+00,
3.4999935e-06,5.59999e-02,3.32000e+00,
3.5999935e-06,4.80000e-02,3.32000e+00,
3.6999936e-06,5.59999e-02,3.36000e+00,
3.7999937e-06,5.20000e-02,3.32000e+00,
3.8999938e-06,4.80000e-02,3.36000e+00,
3.9999936e-06,4.80000e-02,3.36000e+00,
4.0999935e-06,5.59999e-02,3.32000e+00,
4.1999933e-06,5.59999e-02,3.36000e+00,
4.2999932e-06,4.80000e-02,3.32000e+00,
4.3999930e-06,4.80000e-02,3.32000e+00,
4.4999929e-06,5.59999e-02,3.36000e+00,
4.5999927e-06,5.99999e-02,3.36000e+00,
4.6999926e-06,4.80000e-02,3.32000e+00,
4.7999924e-06,5.20000e-02,3.36000e+00,
4.8999923e-06,5.59999e-02,3.32000e+00,
4.9999921e-06,4.80000e-02,3.36000e+00,
5.0999920e-06,5.99999e-02,3.32000e+00,
5.1999918e-06,5.20000e-02,3.32000e+00,
5.2999917e-06,5.99999e-02,3.36000e+00,
5.3999916e-06,5.99999e-02,3.32000e+00,
5.4999914e-06,5.20000e-02,3.36000e+00,
5.5999913e-06,5.20000e-02,3.32000e+00,
5.6999911e-06,5.99999e-02,3.36000e+00,
5.7999910e-06,5.20000e-02,3.36000e+00,
5.8999908e-06,6.40000e-02,3.32000e+00,
5.9999907e-06,5.59999e-02,3.32000e+00,
6.0999905e-06,6.40000e-02,3.36000e+00,
6.1999904e-06,5.20000e-02,3.32000e+00,
6.2999902e-06,6.40000e-02,3.36000e+00,
6.3999901e-06,6.40000e-02,3.36000e+00,
6.4999899e-06,5.20000e-02,3.32000e+00,
6.5999898e-06,7.20000e-02,3.32000e+00,
6.6999896e-06,5.20000e-02,3.36000e+00,
6.7999895e-06,7.20000e-02,3.32000e+00,
6.8999893e-06,4.80000e-02,3.36000e+00,
6.9999892e-06,8.79999e-02,3.32000e+00,
7.0999890e-06,4.00000e-02,3.36000e+00,
7.1999889e-06,1.60000e-02,3.36000e+00,
7.2999887e-06,1.00000e-01,3.28000e+00,
7.3999886e-06,8.79999e-02,3.28000e+00,
7.4999884e-06,4.00000e-02,3.40000e+00,
7.5999883e-06,9.60000e-02,3.36000e+00,
7.6999886e-06,4.80000e-02,3.28000e+00,
7.7999885e-06,4.80000e-02,3.36000e+00,
7.8999883e-06,8.40000e-02,3.32000e+00,
7.9999882e-06,4.80000e-02,3.32000e+00,
8.0999880e-06,8.40000e-02,3.36000e+00,
8.1999879e-06,5.59999e-02,3.32000e+00,
8.2999877e-06,7.60000e-02,3.36000e+00,
8.3999876e-06,7.20000e-02,3.36000e+00,
8.4999874e-06,5.99999e-02,3.32000e+00,
8.5999873e-06,8.00000e-02,3.32000e+00,
8.6999871e-06,5.59999e-02,3.36000e+00,
8.7999870e-06,6.40000e-02,3.32000e+00,
8.8999868e-06,7.60000e-02,3.36000e+00,
8.9999867e-06,6.40000e-02,3.36000e+00,
9.0999865e-06,7.20000e-02,3.32000e+00,
9.1999864e-06,7.20000e-02,3.32000e+00,
9.2999862e-06,5.99999e-02,3.36000e+00,
9.3999861e-06,7.20000e-02,3.36000e+00,
9.4999859e-06,6.40000e-02,3.32000e+00,
9.5999858e-06,7.20000e-02,3.36000e+00,
9.6999856e-06,6.40000e-02,3.32000e+00,
9.7999855e-06,6.40000e-02,3.36000e+00,
9.8999853e-06,7.20000e-02,3.32000e+00,
9.9999852e-06,7.20000e-02,3.36000e+00,
1.0099985e-05,6.40000e-02,3.32000e+00,
1.0199985e-05,6.40000e-02,3.32000e+00,
1.0299985e-05,7.60000e-02,3.36000e+00,
1.0399985e-05,7.20000e-02,3.36000e+00,
1.0499984e-05,6.80000e-02,3.32000e+00,
1.0599984e-05,6.80000e-02,3.36000e+00,
1.0699984e-05,7.20000e-02,3.32000e+00,
1.0799984e-05,6.80000e-02,3.36000e+00,
1.0899984e-05,7.60000e-02,3.32000e+00,
1.0999984e-05,6.80000e-02,3.36000e+00,
1.1099984e-05,7.20000e-02,3.32000e+00,
1.1199983e-05,7.60000e-02,3.36000e+00,
1.1299983e-05,6.80000e-02,3.32000e+00,
1.1399983e-05,7.20000e-02,3.36000e+00,
1.1499983e-05,7.60000e-02,3.32000e+00,
1.1599983e-05,6.80000e-02,3.36000e+00,
1.1699983e-05,8.00000e-02,3.32000e+00,
1.1799983e-05,6.80000e-02,3.36000e+00,
1.1899982e-05,8.00000e-02,3.32000e+00,
1.1999982e-05,8.00000e-02,3.36000e+00,
1.2099982e-05,7.20000e-02,3.32000e+00,
1.2199982e-05,7.20000e-02,3.36000e+00,
