Time,RA2,RA1,
-1.4400001e-05,-5.96046e-08,3.28000e+00,
-1.4200001e-05,1.20000e-02,3.44000e+00,
-1.4000001e-05,-5.96046e-08,3.36000e+00,
-1.3800001e-05,1.20000e-02,3.44000e+00,
-1.3600002e-05,1.20000e-02,3.36000e+00,
-1.3400002e-05,-5.96046e-08,3.44000e+00,
-1.3200002e-05,7.99996e-03,3.44000e+00,
-1.3000003e-05,-5.96046e-08,3.28000e+00,
-1.2800003e-05,7.99996e-03,3.44000e+00,
-1.2600003e-05,-5.96046e-08,3.36000e+00,
-1.2400003e-05,-5.96046e-08,3.44000e+00,
-1.2200004e-05,7.99996e-03,3.28000e+00,
-1.2000004e-05,-5.96046e-08,3.36000e+00,
-1.1800004e-05,7.99996e-03,3.44000e+00,
-1.1600005e-05,-5.96046e-08,3.44000e+00,
-1.1400005e-05,7.99996e-03,3.28000e+00,
-1.1200005e-05,7.99996e-03,3.36000e+00,
-1.1000006e-05,-5.96046e-08,3.44000e+00,
-1.0800006e-05,-5.96046e-08,3.36000e+00,
-1.0600006e-05,1.20000e-02,3.44000e+00,
-1.0400006e-05,3.99995e-03,3.36000e+00,
-1.0200007e-05,7.99996e-03,3.44000e+00,
-1.0000007e-05,7.99996e-03,3.44000e+00,
-9.8000073e-06,-5.96046e-08,3.28000e+00,
-9.6000076e-06,7.99996e-03,3.44000e+00,
-9.4000079e-06,-5.96046e-08,3.28000e+00,
-9.2000082e-06,-5.96046e-08,3.36000e+00,
-9.0000085e-06,7.99996e-03,3.44000e+00,
-8.8000088e-06,7.99996e-03,3.44000e+00,
-8.6000091e-06,3.99995e-03,3.28000e+00,
-8.4000094e-06,2.39999e-02,3.44000e+00,
-8.2000097e-06,-1.20001e-02,3.28000e+00,
-8.0000100e-06,2.79999e-02,3.44000e+00,
-7.8000103e-06,-2.00000e-02,3.36000e+00,
-7.6000101e-06,-2.80001e-02,3.44000e+00,
-7.4000100e-06,4.40000e-02,3.28000e+00,
-7.2000098e-06,4.00000e-02,3.28000e+00,
-7.0000096e-06,-2.40000e-02,3.44000e+00,
-6.8000095e-06,3.60000e-02,3.28000e+00,
-6.6000093e-06,-2.00000e-02,3.44000e+00,
-6.4000092e-06,3.60000e-02,3.44000e+00,
-6.2000090e-06,-1.20001e-02,3.28000e+00,
-6.0000089e-06,1.59999e-02,3.44000e+00,
-5.8000087e-06,-4.00007e-03,3.28000e+00,
-5.6000085e-06,-4.00007e-03,3.44000e+00,
-5.4000084e-06,1.59999e-02,3.36000e+00,
-5.2000082e-06,1.20000e-02,3.44000e+00,
-5.0000081e-06,-5.96046e-08,3.28000e+00,
-4.8000079e-06,-4.00007e-03,3.44000e+00,
-4.6000077e-06,1.20000e-02,3.36000e+00,
-4.4000076e-06,7.99996e-03,3.44000e+00,
-4.2000074e-06,-5.96046e-08,3.28000e+00,
-4.0000073e-06,7.99996e-03,3.44000e+00,
-3.8000073e-06,-5.96046e-08,3.36000e+00,
-3.6000074e-06,-5.96046e-08,3.28000e+00,
-3.4000075e-06,1.20000e-02,3.44000e+00,
-3.2000075e-06,-8.00008e-03,3.44000e+00,
-3.0000076e-06,2.39999e-02,3.28000e+00,
-2.8000077e-06,-5.96046e-08,3.28000e+00,
-2.6000077e-06,1.20000e-02,3.44000e+00,
-2.4000078e-06,-5.96046e-08,3.44000e+00,
-2.2000079e-06,1.20000e-02,3.28000e+00,
-2.0000080e-06,-4.00007e-03,3.28000e+00,
-1.8000079e-06,7.99996e-03,3.44000e+00,
-1.6000079e-06,-5.96046e-08,3.44000e+00,
-1.4000078e-06,7.99996e-03,3.28000e+00,
-1.2000078e-06,-5.96046e-08,3.28000e+00,
-1.0000077e-06,7.99996e-03,3.44000e+00,
-8.0000774e-07,-5.96046e-08,3.36000e+00,
-6.0000775e-07,7.99996e-03,3.44000e+00,
-4.0000776e-07,7.99996e-03,3.36000e+00,
-2.0000776e-07,-5.96046e-08,3.44000e+00,
-7.7591267e-12,4.12000e-01,3.44000e+00,
1.9999224e-07,-1.36000e-01,3.28000e+00,
3.9999225e-07,3.99995e-03,3.44000e+00,
5.9999223e-07,1.20000e-02,3.28000e+00,
7.9999222e-07,1.20000e-02,3.44000e+00,
9.9999227e-07,7.99996e-03,3.28000e+00,
1.1999923e-06,1.20000e-02,3.44000e+00,
1.3999924e-06,1.59999e-02,3.28000e+00,
1.5999924e-06,1.20000e-02,3.44000e+00,
1.7999924e-06,1.99999e-02,3.28000e+00,
1.9999925e-06,1.99999e-02,3.44000e+00,
2.1999924e-06,1.59999e-02,3.28000e+00,
2.3999924e-06,2.39999e-02,3.28000e+00,
2.5999923e-06,1.99999e-02,3.44000e+00,
2.7999922e-06,1.99999e-02,3.44000e+00,
2.9999921e-06,2.79999e-02,3.28000e+00,
3.1999921e-06,4.00000e-02,3.28000e+00,
3.3999920e-06,1.20000e-02,3.44000e+00,
3.5999919e-06,5.59999e-02,3.44000e+00,
3.7999919e-06,3.99995e-03,3.28000e+00,
3.9999918e-06,-4.00007e-03,3.28000e+00,
4.1999920e-06,5.99999e-02,3.44000e+00,
4.3999921e-06,6.40000e-02,3.44000e+00,
4.5999923e-06,-5.96046e-08,3.28000e+00,
4.7999924e-06,1.59999e-02,3.28000e+00,
4.9999926e-06,5.59999e-02,3.44000e+00,
5.1999928e-06,5.99999e-02,3.28000e+00,
5.3999929e-06,2.39999e-02,3.44000e+00,
5.5999931e-06,4.40000e-02,3.28000e+00,
5.7999932e-06,3.19999e-02,3.44000e+00,
5.9999934e-06,4.79999e-02,3.44000e+00,
6.1999935e-06,3.19999e-02,3.28000e+00,
6.3999937e-06,4.00000e-02,3.28000e+00,
6.5999939e-06,4.79999e-02,3.44000e+00,
6.7999940e-06,4.40000e-02,3.44000e+00,
6.9999942e-06,5.19999e-02,3.36000e+00,
7.1999943e-06,4.40000e-02,3.44000e+00,
7.3999945e-06,5.19999e-02,3.28000e+00,
7.5999947e-06,4.79999e-02,3.44000e+00,
7.7999948e-06,5.59999e-02,3.28000e+00,
7.9999945e-06,5.99999e-02,3.36000e+00,
8.1999942e-06,4.79999e-02,3.44000e+00,
8.3999939e-06,4.79999e-02,3.44000e+00,
8.5999936e-06,6.80000e-02,3.28000e+00,
8.7999933e-06,4.79999e-02,3.28000e+00,
8.9999930e-06,6.80000e-02,3.44000e+00,
9.1999927e-06,5.59999e-02,3.28000e+00,
9.3999925e-06,6.80000e-02,3.44000e+00,
9.5999922e-06,5.59999e-02,3.44000e+00,
9.7999919e-06,6.80000e-02,3.28000e+00,
9.9999916e-06,5.99999e-02,3.28000e+00,
1.0199991e-05,6.80000e-02,3.44000e+00,
1.0399991e-05,6.40000e-02,3.44000e+00,
1.0599991e-05,7.20000e-02,3.28000e+00,
1.0799990e-05,6.40000e-02,3.28000e+00,
1.0999990e-05,7.20000e-02,3.44000e+00,
1.1199990e-05,6.80000e-02,3.44000e+00,
1.1399989e-05,7.59999e-02,3.28000e+00,
1.1599989e-05,7.59999e-02,3.44000e+00,
1.1799989e-05,7.20000e-02,3.28000e+00,
1.1999989e-05,7.59999e-02,3.28000e+00,
1.2199988e-05,7.20000e-02,3.44000e+00,
1.2399988e-05,7.99999e-02,3.44000e+00,
1.2599988e-05,7.59999e-02,3.28000e+00,
1.2799987e-05,7.99999e-02,3.44000e+00,
1.2999987e-05,7.59999e-02,3.28000e+00,
1.3199987e-05,7.99999e-02,3.44000e+00,
1.3399987e-05,8.39999e-02,3.28000e+00,
1.3599986e-05,7.99999e-02,3.28000e+00,
1.3799986e-05,8.79999e-02,3.44000e+00,
1.3999986e-05,8.39999e-02,3.36000e+00,
1.4199985e-05,8.79999e-02,3.44000e+00,
1.4399985e-05,8.79999e-02,3.44000e+00,
1.4599985e-05,9.19999e-02,3.36000e+00,
1.4799984e-05,1.12000e-01,3.44000e+00,
1.4999984e-05,7.20000e-02,3.28000e+00,
1.5199984e-05,6.80000e-02,3.28000e+00,
1.5399984e-05,1.20000e-01,3.44000e+00,
1.5599984e-05,5.99999e-02,3.28000e+00,
1.5799984e-05,1.24000e-01,3.44000e+00,
1.5999984e-05,1.28000e-01,3.44000e+00,
1.6199983e-05,7.20000e-02,3.28000e+00,
1.6399983e-05,7.99999e-02,3.28000e+00,
